ticker,date,timestamp,open,high,low,close,volume
SPY,2022-06-13,2022-06-13T15:00:00,376.14,376.26,375.22,375.39,1617130.0
SPY,2022-06-13,2022-06-13T15:05:00,375.4,375.55,375.1,375.265,2177180.0
SPY,2022-06-13,2022-06-13T15:10:00,375.26,376.03,374.93,375.97,1955294.0
SPY,2022-06-13,2022-06-13T15:15:00,375.96,377.34,375.85,377.23,1645883.0
SPY,2022-06-13,2022-06-13T15:20:00,377.23,378.22,377.04,378.2114,1720037.0
SPY,2022-06-13,2022-06-13T15:25:00,378.22,378.3899,377.23,377.385,2125519.0
SPY,2022-06-13,2022-06-13T15:30:00,377.36,377.81,376.7,377.44,1304311.0
SPY,2022-06-13,2022-06-13T15:35:00,377.435,378.6599,377.39,378.58,1762139.0
SPY,2022-06-13,2022-06-13T15:40:00,378.63,379.29,378.191,378.92,1675506.0
SPY,2022-06-13,2022-06-13T15:45:00,378.95,379.0479,377.96,378.55,1173044.0
SPY,2022-06-13,2022-06-13T15:50:00,378.53,378.97,377.55,377.68,1437762.0
SPY,2022-06-13,2022-06-13T15:55:00,377.66,378.41,377.57,378.28,861354
SPY,2022-06-13,2022-06-13T16:00:00,378.3,379.055,377.86,378.31,717688
SPY,2022-06-13,2022-06-13T16:05:00,378.3157,379.31,377.84,378.5,1514797.0
SPY,2022-06-13,2022-06-13T16:10:00,378.49,379.66,378.22,378.98,1833136.0
SPY,2022-06-13,2022-06-13T16:15:00,378.985,379.51,378.436,378.94,773864
SPY,2022-06-13,2022-06-13T16:20:00,378.94,379.59,378.63,378.9,1257305.0
SPY,2022-06-13,2022-06-13T16:25:00,378.92,379.565,378.78,379.04,761650
SPY,2022-06-13,2022-06-13T16:30:00,379.04,380.53,378.63,380.15,1101206.0
SPY,2022-06-13,2022-06-13T16:35:00,380.15,381.35,380.1,381.017,1201100.0
SPY,2022-06-13,2022-06-13T16:40:00,381.01,381.07,379.45,379.5,1549017.0
SPY,2022-06-13,2022-06-13T16:45:00,379.49,379.8,379.22,379.31,891667
SPY,2022-06-13,2022-06-13T16:50:00,379.3,379.735,378.67,378.745,769323
SPY,2022-06-13,2022-06-13T16:55:00,378.73,378.9795,378.0801,378.18,1047687.0
SPY,2022-06-13,2022-06-13T17:00:00,378.18,378.22,377.56,377.635,979747
SPY,2022-06-13,2022-06-13T17:05:00,377.64,377.95,377.33,377.91,732759
SPY,2022-06-13,2022-06-13T17:10:00,377.89,377.94,377.415,377.8539,921129
SPY,2022-06-13,2022-06-13T17:15:00,377.86,378.05,377.62,377.87,1153639.0
SPY,2022-06-13,2022-06-13T17:20:00,377.87,377.896,377.31,377.64,841054
SPY,2022-06-13,2022-06-13T17:25:00,377.63,377.83,377.06,377.47,873564
SPY,2022-06-13,2022-06-13T17:30:00,377.49,377.81,376.9804,377.01,967893
SPY,2022-06-13,2022-06-13T17:35:00,377.005,377.89,376.9,377.84,805206
SPY,2022-06-13,2022-06-13T17:40:00,377.84,379.0898,377.8,379.0562,1938483.0
SPY,2022-06-13,2022-06-13T17:45:00,379.06,379.7775,378.88,379.76,908215
SPY,2022-06-13,2022-06-13T17:50:00,379.76,379.98,378.75,379,1187324.0
SPY,2022-06-13,2022-06-13T17:55:00,379.01,379.6199,379.01,379.3544,715667
SPY,2022-06-13,2022-06-13T18:00:00,379.33,379.4,378.34,378.46,1143005.0
SPY,2022-06-13,2022-06-13T18:05:00,378.45,378.585,377.75,377.75,961877
SPY,2022-06-13,2022-06-13T18:10:00,377.74,377.965,377.21,377.25,1200314.0
SPY,2022-06-13,2022-06-13T18:15:00,377.24,377.95,377.15,377.8,961256
SPY,2022-06-13,2022-06-13T18:20:00,377.81,378.34,377.63,377.6928,1286539.0
SPY,2022-06-13,2022-06-13T18:25:00,377.6971,378.14,377.61,377.68,837983
SPY,2022-06-13,2022-06-13T18:30:00,377.67,377.8599,376.681,377.5201,1159654.0
SPY,2022-06-13,2022-06-13T18:35:00,377.54,378.79,377.46,378.36,982693
SPY,2022-06-13,2022-06-13T18:40:00,378.37,379.0271,378.06,378.4201,1615056.0
SPY,2022-06-13,2022-06-13T18:45:00,378.45,378.86,377.96,378.24,705060
SPY,2022-06-13,2022-06-13T18:50:00,378.24,378.274,377.52,377.73,921499
SPY,2022-06-13,2022-06-13T18:55:00,377.73,377.73,376.755,376.9352,921560
SPY,2022-06-13,2022-06-13T19:00:00,376.93,377.51,376.45,377.15,1755358.0
SPY,2022-06-13,2022-06-13T19:05:00,377.15,377.5,376.37,376.51,1133114.0
SPY,2022-06-13,2022-06-13T19:10:00,376.52,376.59,375.8614,376.0899,1141821.0
SPY,2022-06-13,2022-06-13T19:15:00,376.08,378.08,375.44,376.44,3649933.0
SPY,2022-06-13,2022-06-13T19:20:00,376.43,376.93,375.67,375.7487,1601994.0
SPY,2022-06-13,2022-06-13T19:25:00,375.74,376.5,375.03,375.08,2008793.0
SPY,2022-06-13,2022-06-13T19:30:00,375.08,375.3,374.26,374.755,2591142.0
SPY,2022-06-13,2022-06-13T19:35:00,374.75,375.83,374.38,374.54,2509946.0
SPY,2022-06-13,2022-06-13T19:40:00,374.55,374.64,373.91,374.1,2780411.0
SPY,2022-06-13,2022-06-13T19:45:00,374.09,375,374,374.51,4050542.0
SPY,2022-06-13,2022-06-13T19:50:00,374.48,374.79,373.3,374.695,6833140.0
SPY,2022-06-13,2022-06-13T19:55:00,374.7,375.48,374.45,375.02,11257534.0
SPY,2022-06-13,2022-06-13T20:00:00,375.02,375.13,374.17,375.09,2576728.0
SPY,2022-06-13,2022-06-13T20:05:00,375.08,375.55,374.8809,375.52,4348655.0
SPY,2022-06-13,2022-06-13T20:10:00,375.55,376,375.28,375.28,5511230.0
SPY,2022-06-13,2022-06-13T20:15:00,375.35,375.64,374.8808,375.23,599811
SPY,2022-06-13,2022-06-13T20:20:00,375.28,375.3,374.8,374.81,2821874.0
SPY,2022-06-13,2022-06-13T20:25:00,374.86,375.21,374.79,375.14,452538
SPY,2022-06-13,2022-06-13T20:30:00,375.15,375.5,375.15,375.38,830017
SPY,2022-06-13,2022-06-13T20:35:00,375.31,375.7,375,375.65,99636
SPY,2022-06-13,2022-06-13T20:40:00,375.69,375.78,375.53,375.69,3242004.0
SPY,2022-06-13,2022-06-13T20:45:00,375.65,375.78,375.5,375.55,2348648.0
SPY,2022-06-13,2022-06-13T20:50:00,375.52,375.67,375.35,375.55,149767
SPY,2022-06-13,2022-06-13T20:55:00,375.59,375.67,375.28,375.44,51710
SPY,2022-06-13,2022-06-13T21:00:00,375.43,375.5,375.35,375.4,3122
SPY,2022-06-13,2022-06-13T21:05:00,375.36,375.6,375.36,375.39,14668
SPY,2022-06-13,2022-06-13T21:10:00,375.41,375.49,375.35,375.41,2827
SPY,2022-06-13,2022-06-13T21:15:00,375.41,375.52,375.41,375.46,7317
SPY,2022-06-13,2022-06-13T21:20:00,375.5,375.68,375.46,375.65,30895
SPY,2022-06-13,2022-06-13T21:25:00,375.68,375.75,375.57,375.74,8223
SPY,2022-06-13,2022-06-13T21:30:00,375.6,375.78,375.6,375.7,7221
SPY,2022-06-13,2022-06-13T21:35:00,375.66,375.78,375.66,375.78,3933
SPY,2022-06-13,2022-06-13T21:40:00,375.75,375.75,375.66,375.66,3496
SPY,2022-06-13,2022-06-13T21:45:00,375.61,375.7,375.56,375.62,11964
SPY,2022-06-13,2022-06-13T21:50:00,375.6,375.7,375.6,375.61,4201
SPY,2022-06-13,2022-06-13T21:55:00,375.61,375.78,375.6,375.75,482348
SPY,2022-06-13,2022-06-13T22:00:00,375.75,376.28,375.75,376.04,68684
SPY,2022-06-13,2022-06-13T22:05:00,376.1,376.46,376.1,376.45,8279
SPY,2022-06-13,2022-06-13T22:10:00,376.4,376.5,376.35,376.49,20071
SPY,2022-06-13,2022-06-13T22:15:00,376.49,376.68,376.49,376.62,14282
SPY,2022-06-13,2022-06-13T22:20:00,376.62,376.68,376.5,376.57,15684
SPY,2022-06-13,2022-06-13T22:25:00,376.64,376.64,376.49,376.6,8397
SPY,2022-06-13,2022-06-13T22:30:00,376.59,376.68,376.44,376.44,19863
SPY,2022-06-13,2022-06-13T22:35:00,376.4,376.48,376.38,376.44,5945
SPY,2022-06-13,2022-06-13T22:40:00,376.41,376.5,376.3,376.32,5235
SPY,2022-06-13,2022-06-13T22:45:00,376.37,376.37,376.24,376.24,4316
SPY,2022-06-13,2022-06-13T22:50:00,376.31,376.34,376.17,376.25,29957
SPY,2022-06-13,2022-06-13T22:55:00,376.33,376.46,376.21,376.26,1175
SPY,2022-06-13,2022-06-13T23:00:00,376.3,376.3,376.15,376.15,5093
SPY,2022-06-13,2022-06-13T23:05:00,376.1799,376.24,376.06,376.1,2397
SPY,2022-06-13,2022-06-13T23:10:00,376.08,376.08,375.88,375.9,8407
SPY,2022-06-13,2022-06-13T23:15:00,375.9,375.91,375.6,375.7,24968
SPY,2022-06-13,2022-06-13T23:20:00,375.87,375.94,375.87,375.9,6630
SPY,2022-06-13,2022-06-13T23:25:00,375.92,375.96,375.799,375.96,32931
SPY,2022-06-13,2022-06-13T23:30:00,375.94,375.96,375.72,375.72,9077
SPY,2022-06-13,2022-06-13T23:35:00,375.67,375.73,375.51,375.51,26752
SPY,2022-06-13,2022-06-13T23:40:00,375.5,375.5,375.3,375.39,12962
SPY,2022-06-13,2022-06-13T23:45:00,375.37,375.62,375.37,375.56,5226
SPY,2022-06-13,2022-06-13T23:50:00,375.7,375.74,375.6,375.72,4977
SPY,2022-06-13,2022-06-13T23:55:00,375.72,376.04,375.72,376.04,17150
